timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1779043438641,11,DELETE Character,404,Not Found,Thread Group 1-862,text,false,,273,213,195,195,http://localhost:3001/character/3,11,0,0
1779043438641,11,DELETE Character,404,Not Found,Thread Group 1-844,text,false,,273,213,195,195,http://localhost:3001/character/3,11,0,0
1779043438642,10,DELETE Character,404,Not Found,Thread Group 1-843,text,false,,273,213,195,195,http://localhost:3001/character/3,10,0,0
1779043438642,10,DELETE Character,404,Not Found,Thread Group 1-834,text,false,,273,213,195,195,http://localhost:3001/character/3,10,0,0
1779043438642,11,DELETE Character,404,Not Found,Thread Group 1-835,text,false,,273,213,195,195,http://localhost:3001/character/3,11,0,0
1779043438642,11,DELETE Character,404,Not Found,Thread Group 1-842,text,false,,273,213,195,195,http://localhost:3001/character/3,11,0,0
1779043438642,11,DELETE Character,404,Not Found,Thread Group 1-839,text,false,,273,213,195,195,http://localhost:3001/character/3,11,0,0
1779043438642,11,DELETE Character,404,Not Found,Thread Group 1-841,text,false,,273,213,195,195,http://localhost:3001/character/3,11,0,0
1779043438642,11,PUT Character,200,OK,Thread Group 1-904,text,true,,270,210,195,195,http://localhost:3001/character/2,11,0,0
1779043438642,11,PUT Character,200,OK,Thread Group 1-905,text,true,,270,210,195,195,http://localhost:3001/character/2,11,0,0
1779043438642,11,PUT Character,200,OK,Thread Group 1-898,text,true,,270,210,195,195,http://localhost:3001/character/2,11,0,0
1779043438642,11,PUT Character,200,OK,Thread Group 1-892,text,true,,270,210,195,195,http://localhost:3001/character/2,11,0,0
1779043438642,11,PUT Character,200,OK,Thread Group 1-907,text,true,,270,210,195,195,http://localhost:3001/character/2,11,0,0
1779043438642,12,PUT Character,200,OK,Thread Group 1-897,text,true,,270,210,195,195,http://localhost:3001/character/2,12,0,0
1779043438643,11,PUT Character,200,OK,Thread Group 1-896,text,true,,270,210,195,195,http://localhost:3001/character/2,11,0,0
1779043438643,11,PUT Character,200,OK,Thread Group 1-893,text,true,,270,210,195,195,http://localhost:3001/character/2,11,0,0
1779043438643,11,PUT Character,200,OK,Thread Group 1-901,text,true,,270,210,195,195,http://localhost:3001/character/2,11,0,0
